,Product_Name,Product_Rating,Product_Price
139,"IAIR Basic Feature Dual Sim Mobile Phone with 2800mAh Battery, 1.77 inch Display Screen, 0.8 mp Camera...",3.4,₹999
140,"POCO M3 Pro 5G (Cool Blue, 64 GB)",4.3,"₹12,499"
141,"realme C25Y (Glacier Blue, 64 GB)",4.5,"₹10,999"
142,"SAMSUNG Galaxy F12 (Sea Green, 64 GB)",4.3,"₹9,499"
143,IAIR S19,3.9,"₹1,299"
144,"realme 9i (Prism Blue, 64 GB)",4.4,"₹12,999"
145,"realme C21Y (Cross Black, 64 GB)",4.5,"₹10,499"
146,"realme C21Y (Cross Blue, 64 GB)",4.5,"₹10,499"
147,"IAIR Basic Feature Dual Sim Mobile Phone with 2800mAh Battery, 2.4 inch Display Screen, 0.8 mp Camera ...",3.7,"₹1,320"
148,"realme C21Y (Cross Black, 32 GB)",4.6,"₹9,499"
149,"realme C21Y (Cross Blue, 32 GB)",4.6,"₹9,499"
150,"SAMSUNG Galaxy F12 (Sky Blue, 64 GB)",4.3,"₹9,499"
151,"IAIR Basic Feature Dual Sim Mobile Phone with 2800mAh Battery, 2.4 inch Display Screen, 0.8 mp Camera ...",4,"₹1,320"
152,"realme 9i (Prism Black, 128 GB)",4.3,"₹15,999"
153,"realme 9i (Prism Black, 64 GB)",4.4,"₹12,999"
154,"realme 9i (Prism Blue, 128 GB)",4.4,"₹14,499"
155,"IAIR Basic Feature Dual Sim Mobile Phone with 1200mAh Battery, 1.7 inch Display Screen, 0.8 mp Camera ...",3.7,₹809
156,"SAMSUNG Galaxy F12 (Celestial Black, 64 GB)",4.3,"₹9,499"
157,"realme C25Y (Metal Grey, 64 GB)",4.5,"₹10,999"
158,"realme C20 (Cool Blue, 32 GB)",4.4,"₹6,999"
159,"IAIR Basic Feature Dual Sim Mobile Phone with 2800mAh Battery, 2.8 inch Display Screen, 0.8 mp Camera ...",4,"₹1,219"
160,"realme C20 (Cool Grey, 32 GB)",4.4,"₹6,999"
161,"realme 9i (Prism Blue, 128 GB)",4.3,"₹15,999"
162,"POCO C31 (Royal Blue, 64 GB)",4.4,"₹8,999"
163,"IAIR Basic Feature Dual Sim Mobile Phone with 2800mAh Battery, 1.77 inch Display Screen, 0.8 mp Camera...",3.4,₹999
164,"POCO M3 Pro 5G (Cool Blue, 64 GB)",4.3,"₹12,499"
165,"realme C25Y (Glacier Blue, 64 GB)",4.5,"₹10,999"
166,"SAMSUNG Galaxy F12 (Sea Green, 64 GB)",4.3,"₹9,499"
167,IAIR S19,3.9,"₹1,299"
168,"realme 9i (Prism Blue, 64 GB)",4.4,"₹12,999"
169,"realme C21Y (Cross Black, 64 GB)",4.5,"₹10,499"
170,"realme C21Y (Cross Blue, 64 GB)",4.5,"₹10,499"
171,"IAIR Basic Feature Dual Sim Mobile Phone with 2800mAh Battery, 2.4 inch Display Screen, 0.8 mp Camera ...",3.7,"₹1,320"
172,"realme C21Y (Cross Black, 32 GB)",4.6,"₹9,499"
173,"realme C21Y (Cross Blue, 32 GB)",4.6,"₹9,499"
174,"SAMSUNG Galaxy F12 (Sky Blue, 64 GB)",4.3,"₹9,499"
175,"IAIR Basic Feature Dual Sim Mobile Phone with 2800mAh Battery, 2.4 inch Display Screen, 0.8 mp Camera ...",4,"₹1,320"
176,"realme 9i (Prism Black, 128 GB)",4.3,"₹15,999"
177,"realme 9i (Prism Black, 64 GB)",4.4,"₹12,999"
178,"realme 9i (Prism Blue, 128 GB)",4.4,"₹14,499"
179,"IAIR Basic Feature Dual Sim Mobile Phone with 1200mAh Battery, 1.7 inch Display Screen, 0.8 mp Camera ...",3.7,₹809
180,"SAMSUNG Galaxy F12 (Celestial Black, 64 GB)",4.3,"₹9,499"
181,"realme C25Y (Metal Grey, 64 GB)",4.5,"₹10,999"
182,"realme C20 (Cool Blue, 32 GB)",4.4,"₹6,999"
183,"IAIR Basic Feature Dual Sim Mobile Phone with 2800mAh Battery, 2.8 inch Display Screen, 0.8 mp Camera ...",4,"₹1,219"
184,"realme C20 (Cool Grey, 32 GB)",4.4,"₹6,999"
185,"realme 9i (Prism Blue, 128 GB)",4.3,"₹15,999"
186,"POCO C31 (Royal Blue, 64 GB)",4.4,"₹8,999"
187,"IAIR Basic Feature Dual Sim Mobile Phone with 2800mAh Battery, 1.77 inch Display Screen, 0.8 mp Camera...",3.4,₹999
188,"POCO M3 Pro 5G (Cool Blue, 64 GB)",4.3,"₹12,499"
189,"realme C25Y (Glacier Blue, 64 GB)",4.5,"₹10,999"
190,"SAMSUNG Galaxy F12 (Sea Green, 64 GB)",4.3,"₹9,499"
191,IAIR S19,3.9,"₹1,299"
192,"realme 9i (Prism Blue, 64 GB)",4.4,"₹12,999"
193,"realme C21Y (Cross Black, 64 GB)",4.5,"₹10,499"
194,"realme C21Y (Cross Blue, 64 GB)",4.5,"₹10,499"
195,"IAIR Basic Feature Dual Sim Mobile Phone with 2800mAh Battery, 2.4 inch Display Screen, 0.8 mp Camera ...",3.7,"₹1,320"
196,"realme C21Y (Cross Black, 32 GB)",4.6,"₹9,499"
197,"realme C21Y (Cross Blue, 32 GB)",4.6,"₹9,499"
198,"SAMSUNG Galaxy F12 (Sky Blue, 64 GB)",4.3,"₹9,499"
199,"IAIR Basic Feature Dual Sim Mobile Phone with 2800mAh Battery, 2.4 inch Display Screen, 0.8 mp Camera ...",4,"₹1,320"
200,"realme 9i (Prism Black, 128 GB)",4.3,"₹15,999"
201,"realme 9i (Prism Black, 64 GB)",4.4,"₹12,999"
202,"realme 9i (Prism Blue, 128 GB)",4.4,"₹14,499"
203,"IAIR Basic Feature Dual Sim Mobile Phone with 1200mAh Battery, 1.7 inch Display Screen, 0.8 mp Camera ...",3.7,₹809
204,"SAMSUNG Galaxy F12 (Celestial Black, 64 GB)",4.3,"₹9,499"
205,"realme C25Y (Metal Grey, 64 GB)",4.5,"₹10,999"
206,"realme C20 (Cool Blue, 32 GB)",4.4,"₹6,999"
207,"IAIR Basic Feature Dual Sim Mobile Phone with 2800mAh Battery, 2.8 inch Display Screen, 0.8 mp Camera ...",4,"₹1,219"
208,"realme C20 (Cool Grey, 32 GB)",4.4,"₹6,999"
209,"realme 9i (Prism Blue, 128 GB)",4.3,"₹15,999"
210,"POCO C31 (Royal Blue, 64 GB)",4.4,"₹8,999"
211,"IAIR Basic Feature Dual Sim Mobile Phone with 2800mAh Battery, 1.77 inch Display Screen, 0.8 mp Camera...",3.4,₹999
212,"POCO M3 Pro 5G (Cool Blue, 64 GB)",4.3,"₹12,499"
213,"realme C25Y (Glacier Blue, 64 GB)",4.5,"₹10,999"
214,"SAMSUNG Galaxy F12 (Sea Green, 64 GB)",4.3,"₹9,499"
215,IAIR S19,3.9,"₹1,299"
216,"realme 9i (Prism Blue, 64 GB)",4.4,"₹12,999"
217,"realme C21Y (Cross Black, 64 GB)",4.5,"₹10,499"
218,"realme C21Y (Cross Blue, 64 GB)",4.5,"₹10,499"
219,"IAIR Basic Feature Dual Sim Mobile Phone with 2800mAh Battery, 2.4 inch Display Screen, 0.8 mp Camera ...",3.7,"₹1,320"
220,"realme C21Y (Cross Black, 32 GB)",4.6,"₹9,499"
221,"realme C21Y (Cross Blue, 32 GB)",4.6,"₹9,499"
222,"SAMSUNG Galaxy F12 (Sky Blue, 64 GB)",4.3,"₹9,499"
223,"IAIR Basic Feature Dual Sim Mobile Phone with 2800mAh Battery, 2.4 inch Display Screen, 0.8 mp Camera ...",4,"₹1,320"
224,"realme 9i (Prism Black, 128 GB)",4.3,"₹15,999"
225,"realme 9i (Prism Black, 64 GB)",4.4,"₹12,999"
226,"realme 9i (Prism Blue, 128 GB)",4.4,"₹14,499"
227,"IAIR Basic Feature Dual Sim Mobile Phone with 1200mAh Battery, 1.7 inch Display Screen, 0.8 mp Camera ...",3.7,₹809
228,"SAMSUNG Galaxy F12 (Celestial Black, 64 GB)",4.3,"₹9,499"
229,"realme C25Y (Metal Grey, 64 GB)",4.5,"₹10,999"
230,"realme C20 (Cool Blue, 32 GB)",4.4,"₹6,999"
231,"IAIR Basic Feature Dual Sim Mobile Phone with 2800mAh Battery, 2.8 inch Display Screen, 0.8 mp Camera ...",4,"₹1,219"
232,"realme C20 (Cool Grey, 32 GB)",4.4,"₹6,999"
233,"realme 9i (Prism Blue, 128 GB)",4.3,"₹15,999"
234,"POCO C31 (Royal Blue, 64 GB)",4.4,"₹8,999"
235,"IAIR Basic Feature Dual Sim Mobile Phone with 2800mAh Battery, 1.77 inch Display Screen, 0.8 mp Camera...",3.4,₹999
236,"POCO M3 Pro 5G (Cool Blue, 64 GB)",4.3,"₹12,499"
237,"realme C25Y (Glacier Blue, 64 GB)",4.5,"₹10,999"
238,"SAMSUNG Galaxy F12 (Sea Green, 64 GB)",4.3,"₹9,499"
239,IAIR S19,3.9,"₹1,299"
